,trimestre,uf_nome,variavel,condicao,valor,uf,trimestre_fim
1,202001,Rondônia,Pessoas de 14 anos ou mais de idade,Força de trabalho,892,RO,202003
2,202001,Rondônia,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,76,RO,202003
3,202002,Rondônia,Pessoas de 14 anos ou mais de idade,Força de trabalho,823,RO,202006
4,202002,Rondônia,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,91,RO,202006
5,202003,Rondônia,Pessoas de 14 anos ou mais de idade,Força de trabalho,816,RO,202009
6,202003,Rondônia,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,96,RO,202009
7,202004,Rondônia,Pessoas de 14 anos ou mais de idade,Força de trabalho,845,RO, 202012
8,202004,Rondônia,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,94,RO, 202012
9,202001,Acre,Pessoas de 14 anos ou mais de idade,Força de trabalho,340,AC,202003
10,202001,Acre,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,47,AC,202003
11,202002,Acre,Pessoas de 14 anos ou mais de idade,Força de trabalho,339,AC,202006
12,202002,Acre,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,49,AC,202006
13,202003,Acre,Pessoas de 14 anos ou mais de idade,Força de trabalho,334,AC,202009
14,202003,Acre,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,58,AC,202009
15,202004,Acre,Pessoas de 14 anos ou mais de idade,Força de trabalho,358,AC, 202012
16,202004,Acre,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,57,AC, 202012
17,202001,Amazonas,Pessoas de 14 anos ou mais de idade,Força de trabalho,1908,AM,202003
18,202001,Amazonas,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,279,AM,202003
19,202002,Amazonas,Pessoas de 14 anos ou mais de idade,Força de trabalho,1751,AM,202006
20,202002,Amazonas,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,291,AM,202006
21,202003,Amazonas,Pessoas de 14 anos ou mais de idade,Força de trabalho,1839,AM,202009
22,202003,Amazonas,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,310,AM,202009
23,202004,Amazonas,Pessoas de 14 anos ou mais de idade,Força de trabalho,1878,AM, 202012
24,202004,Amazonas,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,295,AM, 202012
25,202001,Roraima,Pessoas de 14 anos ou mais de idade,Força de trabalho,255,RR,202003
26,202001,Roraima,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,42,RR,202003
27,202002,Roraima,Pessoas de 14 anos ou mais de idade,Força de trabalho,229,RR,202006
28,202002,Roraima,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,39,RR,202006
29,202003,Roraima,Pessoas de 14 anos ou mais de idade,Força de trabalho,236,RR,202009
30,202003,Roraima,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,45,RR,202009
31,202004,Roraima,Pessoas de 14 anos ou mais de idade,Força de trabalho,246,RR, 202012
32,202004,Roraima,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,36,RR, 202012
33,202001,Pará,Pessoas de 14 anos ou mais de idade,Força de trabalho,3874,PA,202003
34,202001,Pará,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,417,PA,202003
35,202002,Pará,Pessoas de 14 anos ou mais de idade,Força de trabalho,3546,PA,202006
36,202002,Pará,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,330,PA,202006
37,202003,Pará,Pessoas de 14 anos ou mais de idade,Força de trabalho,3706,PA,202009
38,202003,Pará,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,413,PA,202009
39,202004,Pará,Pessoas de 14 anos ou mais de idade,Força de trabalho,3839,PA, 202012
40,202004,Pará,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,420,PA, 202012
41,202001,Amapá,Pessoas de 14 anos ou mais de idade,Força de trabalho,388,AP,202003
42,202001,Amapá,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,67,AP,202003
43,202002,Amapá,Pessoas de 14 anos ou mais de idade,Força de trabalho,343,AP,202006
44,202002,Amapá,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,39,AP,202006
45,202003,Amapá,Pessoas de 14 anos ou mais de idade,Força de trabalho,353,AP,202009
46,202003,Amapá,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,54,AP,202009
47,202004,Amapá,Pessoas de 14 anos ou mais de idade,Força de trabalho,371,AP, 202012
48,202004,Amapá,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,59,AP, 202012
49,202001,Tocantins,Pessoas de 14 anos ou mais de idade,Força de trabalho,728,TO,202003
50,202001,Tocantins,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,84,TO,202003
51,202002,Tocantins,Pessoas de 14 anos ou mais de idade,Força de trabalho,691,TO,202006
52,202002,Tocantins,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,88,TO,202006
53,202003,Tocantins,Pessoas de 14 anos ou mais de idade,Força de trabalho,671,TO,202009
54,202003,Tocantins,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,84,TO,202009
55,202004,Tocantins,Pessoas de 14 anos ou mais de idade,Força de trabalho,719,TO, 202012
56,202004,Tocantins,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,81,TO, 202012
57,202001,Maranhão,Pessoas de 14 anos ou mais de idade,Força de trabalho,2644,MA,202003
58,202001,Maranhão,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,431,MA,202003
59,202002,Maranhão,Pessoas de 14 anos ou mais de idade,Força de trabalho,2376,MA,202006
60,202002,Maranhão,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,391,MA,202006
61,202003,Maranhão,Pessoas de 14 anos ou mais de idade,Força de trabalho,2410,MA,202009
62,202003,Maranhão,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,417,MA,202009
63,202004,Maranhão,Pessoas de 14 anos ou mais de idade,Força de trabalho,2502,MA, 202012
64,202004,Maranhão,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,365,MA, 202012
65,202001,Piauí,Pessoas de 14 anos ou mais de idade,Força de trabalho,1434,PI,202003
66,202001,Piauí,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,202,PI,202003
67,202002,Piauí,Pessoas de 14 anos ou mais de idade,Força de trabalho,1213,PI,202006
68,202002,Piauí,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,162,PI,202006
69,202003,Piauí,Pessoas de 14 anos ou mais de idade,Força de trabalho,1319,PI,202009
70,202003,Piauí,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,174,PI,202009
71,202004,Piauí,Pessoas de 14 anos ou mais de idade,Força de trabalho,1366,PI, 202012
72,202004,Piauí,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,167,PI, 202012
73,202001,Ceará,Pessoas de 14 anos ou mais de idade,Força de trabalho,4143,CE,202003
74,202001,Ceará,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,513,CE,202003
75,202002,Ceará,Pessoas de 14 anos ou mais de idade,Força de trabalho,3601,CE,202006
76,202002,Ceará,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,443,CE,202006
77,202003,Ceará,Pessoas de 14 anos ou mais de idade,Força de trabalho,3612,CE,202009
78,202003,Ceará,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,515,CE,202009
79,202004,Ceará,Pessoas de 14 anos ou mais de idade,Força de trabalho,3858,CE, 202012
80,202004,Ceará,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,558,CE, 202012
81,202001,Rio Grande do Norte,Pessoas de 14 anos ou mais de idade,Força de trabalho,1565,RN,202003
82,202001,Rio Grande do Norte,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,244,RN,202003
83,202002,Rio Grande do Norte,Pessoas de 14 anos ou mais de idade,Força de trabalho,1366,RN,202006
84,202002,Rio Grande do Norte,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,209,RN,202006
85,202003,Rio Grande do Norte,Pessoas de 14 anos ou mais de idade,Força de trabalho,1405,RN,202009
86,202003,Rio Grande do Norte,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,251,RN,202009
87,202004,Rio Grande do Norte,Pessoas de 14 anos ou mais de idade,Força de trabalho,1507,RN, 202012
88,202004,Rio Grande do Norte,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,235,RN, 202012
89,202001,Paraíba,Pessoas de 14 anos ou mais de idade,Força de trabalho,1672,PB,202003
90,202001,Paraíba,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,232,PB,202003
91,202002,Paraíba,Pessoas de 14 anos ou mais de idade,Força de trabalho,1483,PB,202006
92,202002,Paraíba,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,196,PB,202006
93,202003,Paraíba,Pessoas de 14 anos ou mais de idade,Força de trabalho,1514,PB,202009
94,202003,Paraíba,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,262,PB,202009
95,202004,Paraíba,Pessoas de 14 anos ou mais de idade,Força de trabalho,1615,PB, 202012
96,202004,Paraíba,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,254,PB, 202012
97,202001,Pernambuco,Pessoas de 14 anos ou mais de idade,Força de trabalho,4128,PE,202003
98,202001,Pernambuco,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,611,PE,202003
99,202002,Pernambuco,Pessoas de 14 anos ou mais de idade,Força de trabalho,3593,PE,202006
100,202002,Pernambuco,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,552,PE,202006
101,202003,Pernambuco,Pessoas de 14 anos ou mais de idade,Força de trabalho,3678,PE,202009
102,202003,Pernambuco,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,709,PE,202009
103,202004,Pernambuco,Pessoas de 14 anos ou mais de idade,Força de trabalho,3996,PE, 202012
104,202004,Pernambuco,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,775,PE, 202012
105,202001,Alagoas,Pessoas de 14 anos ou mais de idade,Força de trabalho,1224,AL,202003
106,202001,Alagoas,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,204,AL,202003
107,202002,Alagoas,Pessoas de 14 anos ou mais de idade,Força de trabalho,1112,AL,202006
108,202002,Alagoas,Pessoas de 14 anos ou mais de idade,Força de trabalho - desocupada,203,AL,202006
109,202003,Alagoas,Pessoas de 14 anos ou mais de idade,Força de trabalho,1124,AL,202009
